[PDDL_initDF] Trial 8 (Attempt 1) | Model: deepseek | Type: basic | Failed: 'val1'
[PDDL_initDF] Trial 8 (Attempt 2) | Model: deepseek | Type: basic | Failed: 'val1'
[PDDL_initDF] Trial 9 (Attempt 1) | Model: deepseek | Type: basic | Failed: 'val1'
[PDDL_initDF] Trial 9 (Attempt 2) | Model: deepseek | Type: basic | Failed: 'val1'
[Baseline] Trial 8 (Attempt 1) | Model: deepseek | Type: basic | Failed: 'val1'
[Baseline] Trial 8 (Attempt 2) | Model: deepseek | Type: basic | Failed: 'val1'
[Baseline] Trial 9 (Attempt 1) | Model: deepseek | Type: basic | Failed: 'val1'
[Baseline] Trial 9 (Attempt 2) | Model: deepseek | Type: basic | Failed: 'val1'
[PDDL] Trial 8 (Attempt 1) | Model: deepseek | Type: basic | Failed: 'val1'
[PDDL] Trial 8 (Attempt 2) | Model: deepseek | Type: basic | Failed: 'val1'
[PDDL] Trial 9 (Attempt 1) | Model: deepseek | Type: basic | Failed: 'val1'
[PDDL] Trial 9 (Attempt 2) | Model: deepseek | Type: basic | Failed: 'val1'
