[Baseline] Trial 8 (Attempt 1) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 8 (Attempt 2) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 9 (Attempt 1) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 9 (Attempt 2) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 55 (Attempt 1) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 55 (Attempt 2) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 58 (Attempt 1) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 58 (Attempt 2) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 63 (Attempt 1) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 63 (Attempt 2) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 77 (Attempt 1) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 77 (Attempt 2) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 78 (Attempt 1) | Model: Qwen/Qwen3-32B | Type: basic | Failed: Request timed out.
[Baseline] Trial 85 (Attempt 1) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 85 (Attempt 2) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 86 (Attempt 1) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
[Baseline] Trial 86 (Attempt 2) | Model: Qwen/Qwen3-32B | Type: basic | Failed: 'val1'
