<frozen runpy>:128: RuntimeWarning: 'coincollector_refactored.initial_df_builder' found in sys.modules after import of package 'coincollector_refactored', but prior to execution of 'coincollector_refactored.initial_df_builder'; this may result in unpredictable behaviour
[MAIN] searching best seed among: range(0, 500)
[seed-scan] seed=  0 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=  1 | env 8/9 [1, 2, 3, 4, 5, 6, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed=  2 | env 5/9 [1, 2, 3, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=  3 | env 8/9 [1, 2, 3, 4, 5, 6, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south'] | env_full=False | act_full=False
[seed-scan] seed=  4 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=  5 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=  6 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=  7 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=  8 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=  9 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 10 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 11 | env 5/9 [1, 2, 3, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 12 | env 8/9 [1, 2, 3, 4, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 13 | env 8/9 [1, 2, 3, 4, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 14 | env 7/9 [1, 2, 3, 4, 5, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 15 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 16 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 17 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 18 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 19 | env 5/9 [1, 2, 3, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 20 | env 8/9 [1, 2, 3, 4, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 21 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 22 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
