[PDDLego+] Trial 6 (Attempt 1) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
[PDDLego+] Trial 10 (Attempt 1) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
[PDDL_Unit_action] Trial 0 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 0 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 1 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 1 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 2 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 2 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 4 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 4 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 5 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 5 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 6 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 6 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 7 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
